name,operator,operator_norm,lat,lon,v6_layer,confidence,promotion_action,promotion_note,source_category,n_sources,physical_facility,address,source,note,ADMIN,CONTINENT,ISO_A3,SUBREGION,_source_file,cluster_id,coord_confidence,facility_type,has_operator,in_both_sources,merge_distance_m,merge_matched_name,merge_status,name_normalized,operator_tier,osm_id,osm_type,provider,region_code,sources,status,wikidata_id,year
YTL Johor Data Center 1 (Kulai),YTL Data Center Holdings,YTL Data Center Holdings,1.6205686,103.5215847,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; FULCRUM analysis,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,YTL Johor Data Center 1 (Kulai),,,,,,Manual Curation (public sources),Operational,,
YTL Johor Data Center 2 (Kulai),YTL Data Center Holdings,YTL Data Center Holdings,1.6215686,103.5215847,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; campus offset +0.001 lat; FULCRUM analysis,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,YTL Johor Data Center 2 (Kulai),,,,,,Manual Curation (public sources),Operational,,
YTL Johor Data Center 3 (Kulai),YTL Data Center Holdings,YTL Data Center Holdings,1.6225686,103.5215847,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; campus offset +0.002 lat; FULCRUM analysis,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,YTL Johor Data Center 3 (Kulai),,,,,,Manual Curation (public sources),Operational,,
Basis Bay Glenmarie (Shah Alam),Basis Bay,Basis Bay,3.09065,101.5791543,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Glenmarie, Shah Alam; one of Malaysia's first carrier-neutral DCs; 27+ years; STT GDC JV announcement",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Basis Bay Glenmarie (Shah Alam),,,,,,Manual Curation (public sources),Operational,,
Basis Bay Cyberjaya,Basis Bay,Basis Bay,2.9058489,101.6527141,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Cyberjaya facility; Basis Bay; STT GDC JV announcement,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Basis Bay Cyberjaya,,,,,,Manual Curation (public sources),Operational,,
"Shinsei Malaysia 1 (Labu, Negeri Sembilan)",Shinsei / Regal Orion,Shinsei / Regal Orion,2.7386579,101.8207566,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Labu, Negeri Sembilan; also known as Regal Orion; single facility; datacentermap.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Shinsei Malaysia 1 (Labu, Negeri Sembilan)",,,,,,Manual Curation (public sources),Operational,,
Open DC CJ1 (Cyberjaya),Open DC,Open DC,2.9045353,101.6517597,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Jalan Cyber Point 4, Cyber 8; Cyberjaya; datacentermap.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Open DC CJ1 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
Open DC JB1 (Johor Bahru),Open DC,Open DC,1.4629805,103.7719136,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Menara MSC Cyberport, No 5 Jalan Bukit Meldrum; Johor Bahru; datacentermap.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Open DC JB1 (Johor Bahru),,,,,,Manual Curation (public sources),Operational,,
Infinaxis Cyberjaya 1,Infinaxis,Infinaxis,2.9158979,101.655345,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Multimedia Super Corridor; Tier III target; datacentermap.com snippet,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Infinaxis Cyberjaya 1,,,,,,Manual Curation (public sources),Operational,,
PLTPro CX2 (Cyberjaya),PLTPro,PLTPro,2.9173478,101.6620513,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"CX2 Computer Exchange, West Wing; Cyberjaya; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,PLTPro CX2 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
Edge Centres EC31 (Shah Alam),Edge Centres,Edge Centres,3.089453,101.58209,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Jalan Pengaturcara U1/51 Temasya Shah Alam; launched 2022; DCD; corrected from v5 audit,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Edge Centres EC31 (Shah Alam),,,,,,Manual Curation (public sources),Operational,,2022.0
"OSM unnamed cluster (4 ways) near (1.7027, 103.4122)",,,1.70273,103.41225,v5.1,0.2833,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",OSM Only,1,1.0,"PC36+JW, 82100 Kayu Ara Pasong, Johor, Malaysia",,"osm_ways=1432337885,1432337904,1432337908,1432337909",Malaysia,Asia,MYS,South-Eastern Asia,,sedenak_cluster,source_native,physical_facility,False,False,,,,osm unnamed cluster 4 ways near 1 7027 103 4122,,1432337885.0,,,,OpenStreetMap,,,
"OSM unnamed cluster (2 ways) near (1.6941, 103.4199)",,,1.69411,103.419941,v5.1,0.2833,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",OSM Only,1,1.0,"MCV9+HJ Kayu Ara Pasong, Johor, Malaysia",,"osm_ways=1432337898,1432337912",Malaysia,Asia,MYS,South-Eastern Asia,,sedenak_cluster,source_native,physical_facility,False,False,,,,osm unnamed cluster 2 ways near 1 6941 103 4199,,1432337898.0,,,,OpenStreetMap,,,
Bridge Data Centres facility (Johor),Bridge Data Centres,Bridge Data Centres,1.4854,103.7618,v6_high,0.5967,,MIDA-sourced facility announcement with multi-source agreement (0 sibling(s) in corpus). Ready to merge.,MIDA Press Release,2,True,Johor,https://www.mida.gov.my/media-release/bridge-data-centres-and-bytedance-celebrate-grand-opening-of-the-first-phase-hyperscale-data-centre-my06-in-johor-malaysia/,"operators=Bridge Data Centres, Bytedance, Google | locations=Johor, Kuala Lumpur, Sedenak | capex=RM70 billion | mw=110MW, 100 MW | published=20 October 2022 | title=Bridge Data Centres And Bytedance Celebrate Grand Opening Of The First Phase Hyperscale Data Centre (My06) In Johor, Malaysia - MIDA | Malaysian Investment Development Authority || co_sources=https://www.mida.gov.my/mida-news/sydney-based-airtrunk-opens-data-centre-in-johor/",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,bridge data centres facility johor,tier1_colo,,,,,MIDA Press Release + 1 sibling(s),,,2026.0
Infinaxis facility (Cyberjaya),Infinaxis,Infinaxis,2.9188,101.6521,v6_high,0.73,,MIDA-sourced facility announcement with multi-source agreement (0 sibling(s) in corpus). Ready to merge.,MIDA Press Release,4,True,Cyberjaya,https://www.mida.gov.my/media-release/gaw-capital-partners-and-a3-capital-jointly-form-a-jv-platform-with-the-launch-of-the-first-infinaxis-data-centre-in-malaysia/,"operators=Infinaxis, Google | locations=Cyberjaya, Kuala Lumpur | capex=USD1.3 billion, US$33.6 billion, US$4bn | mw=12 MW | published=23 February 2023 | title=Gaw Capital Partners and A3 Capital Jointly Form a JV Platform with the Launch of the first Infinaxis Data Centre in Malaysia - MIDA | Malaysian Investment Development Authority || co_sources=https://www.mida.gov.my/mida-news/google-to-invest-rm9-4-bln-in-malaysia-develop-data-centre-cloud-region/; https://www.mida.gov.my/mida-news/equinix-continues-expansion-plan-unveils-new-data-centre/; https://www.mida.gov.my/mida-news/mah-sing-launches-mah-sing-dc-hub-southville-city-with-bridge-data-centres/",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,infinaxis facility cyberjaya,tier2_colo,,,,,MIDA Press Release + 3 sibling(s),,,2026.0
AWS facility (Kuala Lumpur),AWS,AWS,3.139,101.6869,v6_high,0.88,,MIDA-sourced facility announcement with multi-source agreement (3 sibling(s) in corpus). Ready to merge.,MIDA Press Release,7,True,Kuala Lumpur,https://www.mida.gov.my/media-release/amazon-web-services-aws-announces-rm25-5-billion-investment-to-launch-an-aws-cloud-computing-infrastructure-in-malaysia/,"operators=AWS, Google | locations=Kuala Lumpur | capex=RM25.5 Billion, RM25.5 Billion, RM25.5 Billion | published=2 March 2023 | title=Amazon Web Services (AWS) Announces RM25.5 Billion Investment to Launch an AWS Cloud Computing Infrastructure In Malaysia - MIDA | Malaysian Investment Development Authority || operators=AWS, Google | locations=Kuala Lumpur | capex=US$8.8 billion, US$8.5 billion, US$17.6 billion | published=2025-01-06 | title=AWS sees strong growth in Asean cloud services market - MIDA | Malaysian Investment Development Authority || co_sources=https://www.mida.gov.my/media-release/mida-applauds-microsofts-establishment-of-cutting-edge-cloud-and-ai-infrastructure-propelling-malaysia-ahead-of-the-curve-in-digital-transformation/; https://www.mida.gov.my/mida-news/mah-sing-partners-bridge-data-centres-to-launch-mah-sing-dc-hubsouthville-city/; https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=32",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,11.1,AWS Asia Pacific (Malaysia),duplicate_proximity,aws facility kuala lumpur,hyperscaler,,,,,MIDA Press Release + 3 sibling(s),,,2027.0
Google facility (Selangor),Google,Google,3.0738,101.5183,v6_high,0.73,,MIDA-sourced facility announcement with multi-source agreement (0 sibling(s) in corpus). Ready to merge.,MIDA Press Release,3,True,Selangor,https://www.mida.gov.my/mida-news/googles-malaysia-data-centre-sets-new-standard-for-power-water-usage-efficiency/,"operators=Google | locations=Selangor | capex=RM123.5 billion, US$2 billion, US$3.2 billion | published=2024-10-13 | title=Google’s Malaysia data centre sets new standard for power, water usage efficiency - MIDA | Malaysian Investment Development Authority || co_sources=https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=7; https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=32",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,google facility selangor,hyperscaler,,,,,MIDA Press Release + 2 sibling(s),,,2026.0
Telekom Malaysia facility (Klang),Telekom Malaysia,Telekom Malaysia,3.0446,101.445,v6_review,0.3133,,MIDA release describing an exploratory / unbuilt project. Keep tracking; promote when a ground-breaking or operational announcement follows.,MIDA Press Release,1,True,Klang,https://www.mida.gov.my/mida-news/telekom-malaysia-said-to-be-exploring-plans-to-build-new-hyperscale-data-centre/,"operators=Telekom Malaysia, Google | locations=Klang, Iskandar Puteri, Iskandar | capex=RM2.53 billion, RM22.87 billion | mw=40 Megawatts | published=2024-02-08 | title=Telekom Malaysia said to be exploring plans to build new hyperscale data centre - MIDA | Malaysian Investment Development Authority",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,telekom malaysia facility klang,sovereign_telco,,,,,MIDA Press Release,,,2026.0
Google facility (Petaling Jaya),Google,Google,3.1073,101.6067,v6_review,0.3133,,"Operator IR release referencing a DC-adjacent JV or stake, not a facility per se. Probably not promotable unless the JV produces a specific build.",Gamuda Press Release,1,True,Petaling Jaya,https://gamuda.com/2024/12/gamuda-to-acquire-20-stake-in-google-cloud-partner-for-rm18-million/press-releases/,"operators=Google | locations=Petaling Jaya, Penang | capex=RM18 million, RM18 million, RM18 million | published=10 December 2024 | title=Gamuda to acquire 20% stake in Google Cloud partner for RM18 million | Gamuda Berhad",Malaysia,Asia,MYS,South-Eastern Asia,operator_ir_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,google facility petaling jaya,hyperscaler,,,,,Gamuda Press Release,,,2026.0
JARING Bukit Jalil,Data Center Facility,Data Center Facility,3.046839,101.688963,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Technology Park Malaysia, Kuala Lumpur, 57000",https://www.peeringdb.com/fac/610,pdb_id=610 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,jaring bukit jalil,tier2_colo,,,,,PeeringDB fac 610,,,
NTT Cyberjaya Data Center (CBJ),NTT DATA's Global Data Centers division,NTT DATA's Global Data Centers division,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"43000 Jalan APEC, Cyberjaya, 63000",https://www.peeringdb.com/fac/1902,pdb_id=1902 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,ntt cyberjaya data center cbj,tier1_colo,,,,,PeeringDB fac 1902,,,
AIMS CJ1 Cyberjaya,AIMS Data Centre Sdn Bhd,AIMS Data Centre Sdn Bhd,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/3168,pdb_id=3168 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,aims cj1 cyberjaya,tier2_colo,,,,,PeeringDB fac 3168,,,
CX5 / MY02 Cyberjaya Malaysia,Bridge Data Centres,Bridge Data Centres,2.914565,101.649916,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"MY02, Cyberjaya, 63000",https://www.peeringdb.com/fac/4712,pdb_id=4712 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,cx5 my02 cyberjaya malaysia,tier1_colo,,,,,PeeringDB fac 4712,,,
"TM ONE Brickfields City DC, Kuala Lumpur",Telekom Malaysia Berhad (TM),Telekom Malaysia Berhad (TM),,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Tun Sambathan, Brickfields, 50470",https://www.peeringdb.com/fac/5644,pdb_id=5644 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,tm one brickfields city dc kuala lumpur,sovereign_telco,,,,,PeeringDB fac 5644,,,
"TM ONE, Plaza VADS",Telekom Malaysia Berhad (TM),Telekom Malaysia Berhad (TM),3.139446,101.630177,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Plaza VADS, Kuala Lumpur, 60000",https://www.peeringdb.com/fac/5654,pdb_id=5654 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,tm one plaza vads,sovereign_telco,,,,,PeeringDB fac 5654,,,
"TM ONE KVDC, Cyberjaya",Telekom Malaysia Berhad (TM),Telekom Malaysia Berhad (TM),,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Lingkaran Teknokrat Timur, Cyberjaya, 63000",https://www.peeringdb.com/fac/5655,pdb_id=5655 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,tm one kvdc cyberjaya,sovereign_telco,,,,,PeeringDB fac 5655,,,
"TM ONE CBJ8, Cyberjaya",Telekom Malaysia Berhad (TM),Telekom Malaysia Berhad (TM),,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/5769,pdb_id=5769 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,tm one cbj8 cyberjaya,sovereign_telco,,,,,PeeringDB fac 5769,,,
"TM ONE PG1, Penang",Telekom Malaysia Berhad (TM),Telekom Malaysia Berhad (TM),5.424515,100.325495,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"39, Jalan Sultan Ahmad Shah, Georgetown, 10050",https://www.peeringdb.com/fac/5770,pdb_id=5770 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,tm one pg1 penang,sovereign_telco,,,,,PeeringDB fac 5770,,,
ModernOne Data Solutions Sdn. Bhd.,ModernOne Data Solutions Sdn. Bhd.,ModernOne Data Solutions Sdn. Bhd.,2.977314,101.796223,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"No 93-2A, Jalan TKS 1,, Kajang, 4000",https://www.peeringdb.com/fac/6018,pdb_id=6018 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,modernone data solutions sdn bhd,tier2_colo,,,,,PeeringDB fac 6018,,,
"DANAWA DC, Kuching",Danawa Resources Sdn Bhd,Danawa Resources Sdn Bhd,1.51404,110.374811,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Setia Commercial Centre, Kuching, 93350",https://www.peeringdb.com/fac/6488,pdb_id=6488 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,danawa dc kuching,tier2_colo,,,,,PeeringDB fac 6488,,,
SACOFA Kuching,SACOFA Sdn. Bhd.,SACOFA Sdn. Bhd.,1.553771,110.329429,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Lot 367, Jalan Satok, Kuching, 93400",https://www.peeringdb.com/fac/7013,pdb_id=7013 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,sacofa kuching,tier2_colo,,,,,PeeringDB fac 7013,,,
"TM ONE CBJ2, Cyberjaya",Telekom Malaysia Berhad (TM),Telekom Malaysia Berhad (TM),,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Lingkaran Fauna, Cyberjaya, 63000",https://www.peeringdb.com/fac/8711,pdb_id=8711 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,tm one cbj2 cyberjaya,sovereign_telco,,,,,PeeringDB fac 8711,,,
IP ServerOne MYIX-CJ1,IP ServerOne Solutions Sdn Bhd,IP ServerOne Solutions Sdn Bhd,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Cyber Point 4,, Cyberjaya, 63000",https://www.peeringdb.com/fac/8746,pdb_id=8746 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,ip serverone myix cj1,tier2_colo,,,,,PeeringDB fac 8746,,,
Keppel Data Centres | Keppel DC Johor 1,Keppel Data Centres Holding Pte Ltd,Keppel Data Centres Holding Pte Ltd,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Sedenak, Kulai, Johor, 0000",https://www.peeringdb.com/fac/9747,pdb_id=9747 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,keppel data centres keppel dc johor 1,tier1_colo,,,,,PeeringDB fac 9747,,,
Open DC JB2 - Menara Ansar,OPEN DC SDN BHD,OPEN DC SDN BHD,1.460311,103.76285,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Menara Ansar, Johor Bahru, 80000",https://www.peeringdb.com/fac/11025,pdb_id=11025 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,open dc jb2 menara ansar,tier2_colo,,,,,PeeringDB fac 11025,,,
MEASAT  DC Cyberjaya,MEASAT Satellite Systems,MEASAT Satellite Systems,2.935558,101.65836,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Measat Teleport Broadcast Center, Jalan Teknokrat 1/2, Cyberjaya, 63000",https://www.peeringdb.com/fac/11926,pdb_id=11926 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,measat dc cyberjaya,tier2_colo,,,,,PeeringDB fac 11926,,,
SAFEHOUSE Data Centre,i-Tech Network Solutions Sdn Bhd,i-Tech Network Solutions Sdn Bhd,3.165702,101.653155,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Level 31, Menara 1MK, Mont' Kiara, 50480",https://www.peeringdb.com/fac/12537,pdb_id=12537 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,safehouse data centre,tier2_colo,,,,,PeeringDB fac 12537,,,
irix Tier IV DC @ Santubong 1,IRIX,IRIX,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Lot 727, Block 3, Salak Land District Jalan Sultan Tengah, Santubong, Kuching, 93010",https://www.peeringdb.com/fac/12841,pdb_id=12841 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,irix tier iv dc santubong 1,tier2_colo,,,,,PeeringDB fac 12841,,,
AIMS Cyberjaya,AIMS Data Centre Sdn Bhd,AIMS Data Centre Sdn Bhd,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Teknokrat 1/2, Cyber 3, Cyberjaya, 63000",https://www.peeringdb.com/fac/13120,pdb_id=13120 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,aims cyberjaya,tier2_colo,,,,,PeeringDB fac 13120,,,
Open DC PE1 - Suntech Penang Cybercity,OPEN DC SDN BHD,OPEN DC SDN BHD,5.325826,100.286772,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Level 12B, Suntech @ Penang Cybercity, Penang, 11950",https://www.peeringdb.com/fac/14325,pdb_id=14325 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,open dc pe1 suntech penang cybercity,tier2_colo,,,,,PeeringDB fac 14325,,,
JH1,Princeton Digital Group,Princeton Digital Group,1.664183,103.529826,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"No.15, Jalan Digital Utama, Taman Perindustrian Kulai, 81020 Bukit Batu, Johor, 81020",https://www.peeringdb.com/fac/14647,pdb_id=14647 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,jh1,tier1_colo,,,,,PeeringDB fac 14647,,,
STT Johor 1,ST Telemedia Global Data Centres (STT GDC),ST Telemedia Global Data Centres (STT GDC),1.443716,103.611792,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Nusa Cemerlang Industrial Park, Gelang Patah, 81550",https://www.peeringdb.com/fac/14883,pdb_id=14883 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,stt johor 1,tier1_colo,,,,,PeeringDB fac 14883,,,
MY03,Bridge Data Centres,Bridge Data Centres,3.045559,101.693271,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"No.11,, Kuala Lumpur, 57000",https://www.peeringdb.com/fac/15718,pdb_id=15718 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,my03,tier1_colo,,,,,PeeringDB fac 15718,,,
